0,1/25/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
22,2/3/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
23,2/3/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
24,2/3/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
25,2/4/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
26,2/4/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
27,2/4/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
28,2/4/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
29,2/5/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
30,2/5/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
31,2/5/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
32,2/5/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
33,2/6/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
34,2/6/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
35,2/6/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
36,2/6/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
37,2/7/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
38,2/7/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
39,2/7/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
40,2/7/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
41,2/8/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
42,2/8/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
43,2/8/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
44,2/8/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
45,2/9/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
46,2/9/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
47,2/9/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
48,2/9/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
49,2/10/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
50,2/10/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
51,2/10/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
52,2/10/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
53,2/10/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
54,2/11/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
55,2/11/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
56,2/11/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
57,2/11/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
58,2/11/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
59,2/12/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
60,2/12/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
61,2/12/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
62,2/12/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
63,2/12/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
64,2/13/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
65,2/13/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
66,2/13/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
67,2/13/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
68,2/13/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
69,2/14/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
70,2/14/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
71,2/14/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
72,2/14/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
73,2/14/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
74,2/15/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
75,2/15/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
76,2/15/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
77,2/15/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
78,2/15/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
79,2/16/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
80,2/16/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
81,2/16/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
82,2/16/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
83,2/16/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
84,2/17/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
85,2/17/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
86,2/17/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
87,2/17/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
88,2/17/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
89,2/18/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
90,2/18/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
91,2/18/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
92,2/18/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
93,2/18/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
94,2/19/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
95,2/19/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
96,2/19/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
97,2/19/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
98,2/19/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
99,2/20/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
100,2/20/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
101,2/20/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
102,2/20/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
103,2/20/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
104,2/20/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
105,2/21/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
106,2/21/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
107,2/21/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
108,2/21/2020,Sacramento,California,6067,1,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
109,2/21/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
110,2/21/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
111,2/21/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
112,2/22/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
113,2/22/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
114,2/22/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
115,2/22/2020,Sacramento,California,6067,1,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
116,2/22/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
117,2/22/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
118,2/22/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
119,2/23/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
120,2/23/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
121,2/23/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
122,2/23/2020,Sacramento,California,6067,1,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
123,2/23/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
124,2/23/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
125,2/23/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
126,2/24/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
127,2/24/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
128,2/24/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
129,2/24/2020,Sacramento,California,6067,1,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
130,2/24/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
131,2/24/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
132,2/24/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
133,2/24/2020,Solano,California,6095,1,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
134,2/25/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
135,2/25/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
136,2/25/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
137,2/25/2020,Sacramento,California,6067,1,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
138,2/25/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
139,2/25/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
140,2/25/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
141,2/25/2020,Solano,California,6095,1,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
142,2/26/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
143,2/26/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
144,2/26/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
145,2/26/2020,Napa,California,6055,1,0,no,no,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
146,2/26/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
147,2/26/2020,Sacramento,California,6067,3,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
148,2/26/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
149,2/26/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
150,2/26/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
151,2/26/2020,Solano,California,6095,11,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
152,2/26/2020,Sonoma,California,6097,1,0,no,no,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
153,2/27/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
154,2/27/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
155,2/27/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
156,2/27/2020,Napa,California,6055,1,0,no,no,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
157,2/27/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
158,2/27/2020,Sacramento,California,6067,3,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
159,2/27/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
160,2/27/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
161,2/27/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
162,2/27/2020,Solano,California,6095,11,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
163,2/27/2020,Sonoma,California,6097,1,0,no,no,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
164,2/28/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
165,2/28/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
166,2/28/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
167,2/28/2020,Napa,California,6055,1,0,no,no,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
168,2/28/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
169,2/28/2020,Sacramento,California,6067,3,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
170,2/28/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
171,2/28/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
172,2/28/2020,Santa Clara,California,6085,3,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
173,2/28/2020,Solano,California,6095,11,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
174,2/28/2020,Sonoma,California,6097,1,0,no,no,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
175,2/29/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
176,2/29/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
177,2/29/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
178,2/29/2020,Napa,California,6055,1,0,no,no,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
179,2/29/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
180,2/29/2020,Sacramento,California,6067,3,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
181,2/29/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
182,2/29/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
183,2/29/2020,Santa Clara,California,6085,4,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
184,2/29/2020,Solano,California,6095,11,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
185,2/29/2020,Sonoma,California,6097,1,0,no,no,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
186,3/1/2020,Alameda,California,6001,1,0,no,no,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
187,3/1/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
188,3/1/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
189,3/1/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
190,3/1/2020,Napa,California,6055,1,0,no,no,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
191,3/1/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
192,3/1/2020,Sacramento,California,6067,3,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
193,3/1/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
194,3/1/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
195,3/1/2020,Santa Clara,California,6085,7,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
196,3/1/2020,Solano,California,6095,12,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
197,3/1/2020,Sonoma,California,6097,1,0,no,no,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
198,3/2/2020,Alameda,California,6001,1,0,no,no,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
199,3/2/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
200,3/2/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
201,3/2/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
202,3/2/2020,Napa,California,6055,1,0,no,no,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
203,3/2/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
204,3/2/2020,Placer,California,6061,1,0,no,no,SRID=4326; POINT(-120.71756048968044 39.06346827702669)
205,3/2/2020,Sacramento,California,6067,3,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
206,3/2/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
207,3/2/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
208,3/2/2020,San Mateo,California,6081,1,0,no,no,SRID=4326; POINT(-122.32902439490182 37.422897665590426)
209,3/2/2020,Santa Clara,California,6085,9,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
210,3/2/2020,Solano,California,6095,12,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
211,3/2/2020,Sonoma,California,6097,2,0,no,no,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
212,3/3/2020,Alameda,California,6001,2,0,no,no,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
213,3/3/2020,Contra Costa,California,6013,1,0,no,no,SRID=4326; POINT(-121.92793912067462 37.91916706936435)
214,3/3/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
215,3/3/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
216,3/3/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
217,3/3/2020,Napa,California,6055,1,0,no,no,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
218,3/3/2020,Orange,California,6059,3,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
219,3/3/2020,Placer,California,6061,2,0,no,no,SRID=4326; POINT(-120.71756048968044 39.06346827702669)
220,3/3/2020,Sacramento,California,6067,3,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
221,3/3/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
222,3/3/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
223,3/3/2020,San Mateo,California,6081,1,0,no,no,SRID=4326; POINT(-122.32902439490182 37.422897665590426)
224,3/3/2020,Santa Clara,California,6085,11,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
225,3/3/2020,Solano,California,6095,12,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
226,3/3/2020,Sonoma,California,6097,2,0,no,no,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
227,3/4/2020,Alameda,California,6001,2,0,no,no,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
228,3/4/2020,Contra Costa,California,6013,1,0,no,no,SRID=4326; POINT(-121.92793912067462 37.91916706936435)
229,3/4/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
230,3/4/2020,Los Angeles,California,6037,7,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
231,3/4/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
232,3/4/2020,Napa,California,6055,1,0,no,no,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
233,3/4/2020,Orange,California,6059,3,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
234,3/4/2020,Placer,California,6061,2,1,no,no,SRID=4326; POINT(-120.71756048968044 39.06346827702669)
235,3/4/2020,Sacramento,California,6067,3,0,no,no,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
236,3/4/2020,San Diego,California,6073,1,0,no,no,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
237,3/4/2020,San Francisco,California,6075,3,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
238,3/4/2020,San Mateo,California,6081,1,0,no,no,SRID=4326; POINT(-122.32902439490182 37.422897665590426)
239,3/4/2020,Santa Clara,California,6085,14,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
240,3/4/2020,Solano,California,6095,12,0,no,no,SRID=4326; POINT(-121.932865211764 38.26997789621676)
241,3/4/2020,Sonoma,California,6097,3,0,no,no,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
242,3/5/2020,Alameda,California,6001,2,0,no,no,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
243,3/5/2020,Contra Costa,California,6013,1,0,no,no,SRID=4326; POINT(-121.92793912067462 37.91916706936435)
244,3/5/2020,Humboldt,California,6023,1,0,no,no,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
245,3/5/2020,Los Angeles,California,6037,11,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
246,3/5/2020,Marin,California,6041,1,0,no,no,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
